Fecha,Hora,Likes,Lang,Tweet_limpio,Procesado,BERTopic_Topic,BERTopic_Prob,SemAxis_Score,Cluster_SemAxis
2025-12-03 18:46,14:19:54,249,E,and gustar_relatarl situación afectar trato_amable personal_control inconveniente_serio recibir_información momento consecuencia_perder conexión_transporte gustar_reforzar atención_situación imprevista saludo cordial miguel_simó galindo desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and gustar relatarl situación afectar trato amable personal control inconveniente serio recibir información momento consecuencia perder conexión transporte gustar reforzar atención situación imprevista saludo cordial miguel_simó galindo desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,14,0.0687973539001218,0.4343102,1
2024-10-25 16:06,07:44:05,491,E,and problema viaje_considero necesario_notificar él calefacción_averiado generar_estrés compromiso importante reorganizar_cita generar_cambio hora gustar_futuro claridad_rapidez comunicación saludo cordial américo correa desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and problema viaje considero necesario notificar él calefacción averiado generar estrés compromiso importante reorganizar cita generar cambio hora gustar futuro claridad rapidez comunicación saludo cordial américo correa desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,0,0.3302428939660041,0.6514566,0
2025-08-20 15:14,18:47:07,140,E,and experimentar_inconveniente viaje desear compartir_sugerencia mejorar_información retraso generar_estrés compromiso importante provocar_gasto adicional_deber gustar_futuro claridad_rapidez comunicación saludo cordial adrián jordano hervia_garzón desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and experimentar inconveniente viaje desear compartir sugerencia mejorar información retraso generar estrés compromiso importante provocar gasto adicional deber gustar futuro claridad rapidez comunicación saludo cordial adrián jordano hervia_garzón desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,-1,0.0020352071069108,0.5729795,1
2024-11-24 08:41,11:25:05,485,E,and trayecto_ocurrir considerar importante comunicar ventana_sucio generar_estrés compromiso importante causa_llegar previsto_confiar revisen_proceso pasajero acompañado saludo cordial amador pedrazar gutiérrez desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and trayecto ocurrir considerar importante comunicar ventana sucio generar estrés compromiso importante causa llegar previsto confiar revisen proceso pasajero acompañado saludo cordial amador pedrazar gutiérrez desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,-1,0.0194726891554678,0.7041588,0
2025-02-25 21:43,22:04:15,19,E,and querer_detallar problema_recientemente tren duda_tarjeta descuento problema_agravar alternativa_evidente momento terminé_buscar solución_difícil gustar_futuro claridad_rapidez comunicación saludo cordial nydia jover toro desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and querer detallar problema recientemente tren duda tarjeta descuento problema agravar alternativa evidente momento terminé buscar solución difícil gustar futuro claridad rapidez comunicación saludo cordial nydia jover toro desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,51,0.4230513519889121,0.5766458,1
2025-01-24 09:30,18:04:38,443,E,and gustar_relatarl situación afectar rampa_silla rueda_disponible complicado_depender puntualidad_llegar tiempo terminé_buscar solución_difícil gustar_reforzar atención_situación imprevista saludo cordial domingo arnal desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and gustar relatarl situación afectar rampa silla rueda disponible complicado depender puntualidad llegar tiempo terminé buscar solución difícil gustar reforzar atención situación imprevista saludo cordial domingo arnal desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,61,1.0,0.59639734,1
2025-07-23 21:26,15:19:30,321,E,and gustar_relatarl situación afectar recibir_información servicio_objeto perdido generar_estrés compromiso importante consecuencia_perder conexión_transporte gustar_futuro claridad_rapidez comunicación saludo cordial arcelia marín bárcena desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and gustar relatarl situación afectar recibir información servicio objeto perdido generar estrés compromiso importante consecuencia perder conexión transporte gustar futuro claridad rapidez comunicación saludo cordial arcelia marín bárcena desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,14,0.1088022060915845,0.45449924,1
2024-10-24 17:06,03:02:12,445,E,and contacto_vivir situación complicado cancelación_tren condición_meteorológico inconveniente_serio recibir_información momento reorganizar_cita generar_cambio hora_confiar revisen_proceso pasajero acompañado saludo cordial sara ugarte cañete desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and contacto vivir situación complicado cancelación tren condición meteorológico inconveniente serio recibir información momento reorganizar cita generar cambio hora confiar revisen proceso pasajero acompañado saludo cordial sara ugarte cañete desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,1,0.5427593526549467,0.4544568,1
2023-04-20 18:53,12:32:25,201,E,and contacto_vivir situación complicado asiento_reservado ocupado_persona inconveniente_serio recibir_información momento provocar_gasto adicional_deber gustar_futuro claridad_rapidez comunicación saludo cordial wálter_porfirio cerdá agustín desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and contacto vivir situación complicado asiento reservado ocupado persona inconveniente serio recibir información momento provocar gasto adicional deber gustar futuro claridad rapidez comunicación saludo cordial wálter_porfirio cerdá agustín desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,1,0.5985405673223587,0.42652905,1
2023-11-16 06:49,08:59:07,160,E,and querer_explicar ocurrir_viaje baño_sucio averiar situación_especialmente problemático_afectar organización consecuencia_perder conexión_transporte ayuda_implementarar mejora_prevenir problema saludo cordial reinaldo llabrés cervera desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and querer explicar ocurrir viaje baño sucio averiar situación especialmente problemático afectar organización consecuencia perder conexión transporte ayuda implementarar mejora prevenir problema saludo cordial reinaldo llabrés cervera desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,-1,0.0142557318976531,0.5338618,1
2025-06-02 20:59,14:46:22,295,E,and gustar_relatarl situación afectar perder_cartera situación_especialmente problemático_afectar organización consecuencia_perder conexión_transporte ayuda_implementarar mejora_prevenir problema saludo cordial samuel lladó desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and gustar relatarl situación afectar perder cartera situación especialmente problemático afectar organización consecuencia perder conexión transporte ayuda implementarar mejora prevenir problema saludo cordial samuel lladó desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,14,0.0431442231266374,0.3586138,1
2023-09-08 19:28,11:43:15,100,E,and escribir_informar suceder_trayecto perder_cartera problema_agravar alternativa_evidente momento causa_llegar previsto esperar_sinceramente evitar_volver suceder saludo cordial emiliano cueva pinedir desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and escribir informar suceder trayecto perder cartera problema agravar alternativa evidente momento causa llegar previsto esperar sinceramente evitar volver suceder saludo cordial emiliano cueva pinedir desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,-1,0.0560974350041948,0.4782184,1
2024-05-16 18:06,09:12:20,414,E,and querer_explicar ocurrir_viaje problema billete_perro situación_especialmente problemático_afectar organización consecuencia_perder conexión_transporte confío_revisen proceso pasajero acompañado saludo cordial prudencio morcillo tejera desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and querer explicar ocurrir viaje problema billete perro situación especialmente problemático afectar organización consecuencia perder conexión transporte confío revisen proceso pasajero acompañado saludo cordial prudencio morcillo tejera desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,-1,0.0718628202461385,0.52028346,1
2024-10-15 21:45,16:48:47,204,E,and contacto_vivir situación complicado retraso_causado problema_técnico tren complicado_depender puntualidad_llegar tiempo terminé_buscar solución_difícil confío_revisen proceso pasajero acompañado saludo cordial isidoro villar valcárcel desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and contacto vivir situación complicado retraso causado problema técnico tren complicado depender puntualidad llegar tiempo terminé buscar solución difícil confío revisen proceso pasajero acompañado saludo cordial isidoro villar valcárcel desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,1,0.6103266867151528,0.5363537,1
2025-10-09 10:27,07:52:50,160,E,and querer_detallar problema_recientemente tren propuesta_mejorar accesibilidad generar_estrés compromiso importante causa_llegar previsto esperar_sinceramente evitar_volver suceder saludo cordial cipriano mir_azorin_además desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and querer detallar problema recientemente tren propuesta mejorar accesibilidad generar estrés compromiso importante causa llegar previsto esperar sinceramente evitar volver suceder saludo cordial cipriano mir_azorin_además desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,-1,0.1273123898074896,0.5715296,1
2023-02-24 11:33,16:45:00,192,E,and gustar_relatarl situación afectar retraso_embarque lento_exceso pasajero complicado_depender puntualidad_llegar tiempo reorganizar_cita generar_cambio hora esperar_sinceramente evitar_volver suceder saludo cordial javi soler_arnaiz desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,and gustar relatarl situación afectar retraso embarque lento exceso pasajero complicado depender puntualidad llegar tiempo reorganizar cita generar cambio hora esperar sinceramente evitar volver suceder saludo cordial javi soler_arnaiz desear añadir experiencia resultar frustrante dejar importante contar comunicación transparente apoyo constante pasajero,26,1.0,0.48446956,1
